1::Toy Story (1995)::An;imation|Children's|Comedy
1171::Bob Roberts (1992;)::Comedy
1172::Cinema Paradiso (;1988)::Comedy|Drama|Romance
1173::Cook the Thief Hi;s Wife & Her Lover, The (1989)::Drama
1174::Grosse Fatigue (1;994)::Comedy
1175::Delicatessen (199;1)::Comedy|Sci-Fi
1176::Double Life of Ve;ronique, The (La Double Vie de Véronique) (1991)::Drama
1177::Enchanted April (;1991)::Drama
1178::Paths of Glory (1;957)::Drama|War
1179::Grifters, The (19;90)::Crime|Drama|Film-Noir
1180::Hear My Song (199;1)::Comedy
1181::Shooter, The (199;5)::Action
1183::English Patient,;The (1996)::Drama|Romance|War
1184::Mediterraneo (199;1)::Comedy|War
1185::My Left Foot (198;9)::Drama
1186::Sex, Lies, and Vi;deotape (1989)::Drama
1187::Passion Fish (199;2)::Drama
1188::Strictly Ballroom;(1992)::Comedy|Romance
1189::Thin Blue Line, T;he (1988)::Documentary
1190::Tie Me Up! Tie Me;Down! (1990)::Drama
1191::Madonna: Truth or;Dare (1991)::Documentary
1192::Paris Is Burning;(1990)::Documentary
1193::One Flew Over the;Cuckoo's Nest (1975)::Drama
1194::Up in Smoke (1978;)::Comedy
1196::Star Wars: Episod;e V - The Empire Strikes Back (1980)::Action|Adventure|Drama|Sci-Fi|War
1197::Princess Bride, T;he (1987)::Action|Adventure|Comedy|Romance
1198::Raiders of the Lo;st Ark (1981)::Action|Adventure
1199::Brazil (1985)::Sc;i-Fi
1200::Aliens (1986)::Ac;tion|Sci-Fi|Thriller|War
1201::Good, The Bad and;The Ugly, The (1966)::Action|Western
1202::Withnail and I (1;987)::Comedy
1203::12 Angry Men (195;7)::Drama
1204::Lawrence of Arabi;a (1962)::Adventure|War
1205::Transformers: The;Movie, The (1986)::Action|Animation|Children's|Sci-Fi|Thriller|War
1206::Clockwork Orange,;A (1971)::Sci-Fi
1207::To Kill a Mocking;bird (1962)::Drama
1208::Apocalypse Now (1;979)::Drama|War
1209::Once Upon a Time;in the West (1969)::Western
1210::Star Wars: Episod;e VI - Return of the Jedi (1983)::Action|Adventure|Romance|Sci-Fi|War
1211::Wings of Desire (;Der Himmel über Berlin) (1987)::Comedy|Drama|Romance
1212::Third Man, The (1;949)::Mystery|Thriller
1213::GoodFellas (1990);::Crime|Drama
1214::Alien (1979)::Act;ion|Horror|Sci-Fi|Thriller
1215::Army of Darkness;(1993)::Action|Adventure|Comedy|Horror|Sci-Fi
1216::Big Blue, The (Le;Grand Bleu) (1988)::Adventure|Romance
1217::Ran (1985)::Drama;|War
1218::Killer, The (Die;xue shuang xiong) (1989)::Action|Thriller
1219::Psycho (1960)::Ho;rror|Thriller
1220::Blues Brothers, T;he (1980)::Action|Comedy|Musical
1221::Godfather: Part I;I, The (1974)::Action|Crime|Drama
1222::Full Metal Jacket;(1987)::Action|Drama|War
1223::Grand Day Out, A;(1992)::Animation|Comedy
1224::Henry V (1989)::D;rama|War
1225::Amadeus (1984)::D;rama
1226::Quiet Man, The (1;952)::Comedy|Romance
1227::Once Upon a Time;in America (1984)::Crime|Drama|Thriller
1228::Raging Bull (1980;)::Drama
1230::Annie Hall (1977);::Comedy|Romance
1231::Right Stuff, The;(1983)::Drama
1232::Stalker (1979)::M;ystery|Sci-Fi
1233::Boat, The (Das Bo;ot) (1981)::Action|Drama|War
1234::Sting, The (1973);::Comedy|Crime
1235::Harold and Maude;(1971)::Comedy
1236::Trust (1990)::Com;edy|Drama
1237::Seventh Seal, The;(Sjunde inseglet, Det) (1957)::Drama
1238::Local Hero (1983);::Comedy
1240::Terminator, The (;1984)::Action|Sci-Fi|Thriller
1241::Braindead (1992):;:Comedy|Horror
1242::Glory (1989)::Act;ion|Drama|War
1243::Rosencrantz and G;uildenstern Are Dead (1990)::Comedy|Drama
1244::Manhattan (1979):;:Comedy|Drama|Romance
1245::Miller's Crossing;(1990)::Drama
1246::Dead Poets Societ;y (1989)::Drama
1247::Graduate, The (19;67)::Drama|Romance
1248::Touch of Evil (19;58)::Crime|Film-Noir|Thriller
1249::Nikita (La Femme;Nikita) (1990)::Thriller
1250::Bridge on the Riv;er Kwai, The (1957)::Drama|War
1251::8 1/2 (1963)::Dra;ma
1252::Chinatown (1974):;:Film-Noir|Mystery|Thriller
1253::Day the Earth Sto;od Still, The (1951)::Drama|Sci-Fi
1254::Treasure of the S;ierra Madre, The (1948)::Adventure
1255::Bad Taste (1987):;:Comedy|Horror
1256::Duck Soup (1933):;:Comedy|War
1257::Better Off Dead;. (1985)::Comedy
1258::Shining, The (198;0)::Horror
1259::Stand by Me (1986;)::Adventure|Comedy|Drama
1260::M (1931)::Crime|F;ilm-Noir|Thriller
1261::Evil Dead II (Dea;d By Dawn) (1987)::Action|Adventure|Comedy|Horror
1262::Great Escape, The;(1963)::Adventure|War
1263::Deer Hunter, The;(1978)::Drama|War
1264::Diva (1981)::Acti;on|Drama|Mystery|Romance|Thriller
1265::Groundhog Day (19;93)::Comedy|Romance
1266::Unforgiven (1992);::Western
1267::Manchurian Candid;ate, The (1962)::Film-Noir|Thriller
1268::Pump Up the Volum;e (1990)::Drama
1269::Arsenic and Old L;ace (1944)::Comedy|Mystery|Thriller
1270::Back to the Futur;e (1985)::Comedy|Sci-Fi
1271::Fried Green Tomat;oes (1991)::Drama
1272::Patton (1970)::Dr;ama|War
1273::Down by Law (1986;)::Comedy|Drama
1274::Akira (1988)::Adv;enture|Animation|Sci-Fi|Thriller
1275::Highlander (1986);::Action|Adventure
1276::Cool Hand Luke (1;967)::Comedy|Drama
1277::Cyrano de Bergera;c (1990)::Action|Drama|Romance
1278::Young Frankenstei;n (1974)::Comedy|Horror
1279::Night on Earth (1;991)::Comedy|Drama
1280::Raise the Red Lan;tern (1991)::Drama
1281::Great Dictator, T;he (1940)::Comedy
1282::Fantasia (1940)::;Animation|Children's|Musical
1283::High Noon (1952):;:Western
1284::Big Sleep, The (1;946)::Film-Noir|Mystery
1285::Heathers (1989)::;Comedy
1286::Somewhere in Time;(1980)::Drama|Romance
1287::Ben-Hur (1959)::A;ction|Adventure|Drama
1288::This Is Spinal Ta;p (1984)::Comedy|Drama|Musical
1289::Koyaanisqatsi (19;83)::Documentary|War
1290::Some Kind of Wond;erful (1987)::Drama|Romance
1291::Indiana Jones and;the Last Crusade (1989)::Action|Adventure
1292::Being There (1979;)::Comedy
1293::Gandhi (1982)::Dr;ama
1294::M*A*S*H (1970)::C;omedy|War
1295::Unbearable Lightn;ess of Being, The (1988)::Drama
1296::Room with a View,;A (1986)::Drama|Romance
1297::Real Genius (1985;)::Comedy
1298::Pink Floyd - The;Wall (1982)::Drama|Musical|War
1299::Killing Fields, T;he (1984)::Drama|War
1300::My Life as a Dog;(Mitt liv som hund) (1985)::Drama
1301::Forbidden Planet;(1956)::Sci-Fi
1302::Field of Dreams (;1989)::Drama
1303::Man Who Would Be;King, The (1975)::Adventure
1304::Butch Cassidy and;the Sundance Kid (1969)::Action|Comedy|Western
1305::Paris, Texas (198;4)::Drama
1306::Until the End of;the World (Bis ans Ende der Welt) (1991)::Drama|Sci-Fi
1307::When Harry Met Sa;lly... (1989)::Comedy|Romance
1308::I Shot a Man in V;egas (1995)::Comedy
1309::Parallel Sons (19;95)::Drama|Romance
1310::Hype! (1996)::Doc;umentary
1311::Santa with Muscle;s (1996)::Comedy
1312::Female Perversion;s (1996)::Drama
1313::Mad Dog Time (199;6)::Crime
1314::Breathing Room (1;996)::Romance
1315::Paris Was a Woman;(1995)::Documentary
1316::Anna (1996)::Dram;a
1317::I'm Not Rappaport;(1996)::Comedy
1318::Blue Juice (1995);::Comedy|Drama
1319::Kids of Survival;(1993)::Documentary
1320::Alien? (1992)::Ac;tion|Horror|Sci-Fi|Thriller
1321::American Werewolf;in London, An (1981)::Horror
1322::Amityville 1992:;It's About Time (1992)::Horror
1323::Amityville 3-D (1;983)::Horror
1324::Amityville: Dollh;ouse (1996)::Horror
1325::Amityville: A New;Generation (1993)::Horror
1326::Amityville II: Th;e Possession (1982)::Horror
1327::Amityville Horror;, The (1979)::Horror
1328::Amityville Curse,;The (1990)::Horror
1329::Blood For Dracula;(Andy Warhol's Dracula) (1974)::Horror
1330::April Fool's Day;(1986)::Comedy|Horror
1331::Audrey Rose (1977;)::Horror
1332::Believers, The (1;987)::Horror|Thriller
1333::Birds, The (1963);::Horror
1334::Blob, The (1958):;:Horror|Sci-Fi
1335::Blood Beach (1981;)::Action|Horror
1336::Body Parts (1991);::Horror
1337::Body Snatcher, Th;e (1945)::Horror
1339::Bram Stoker's Dra;cula (1992)::Horror|Romance
1340::Bride of Frankens;tein (1935)::Horror
1341::Burnt Offerings (;1976)::Horror
1342::Candyman (1992)::;Horror
1343::Cape Fear (1991):;:Thriller
1344::Cape Fear (1962):;:Film-Noir|Thriller
1345::Carrie (1976)::Ho;rror
1346::Cat People (1982);::Horror
1347::Nightmare on Elm;Street, A (1984)::Horror
1348::Nosferatu (Nosfer;atu, eine Symphonie des Grauens) (1922)::Horror
1349::Nosferatu a Venez;ia (1986)::Horror
1350::Omen, The (1976):;:Horror
1351::Blood & Wine (199;7)::Drama
1352::Albino Alligator;(1996)::Crime|Thriller
1353::Mirror Has Two Fa;ces, The (1996)::Comedy|Romance
1354::Breaking the Wave;s (1996)::Drama
1355::Nightwatch (1997);::Horror|Thriller
1356::Star Trek: First;Contact (1996)::Action|Adventure|Sci-Fi
1357::Shine (1996)::Dra;ma|Romance
1358::Sling Blade (1996;)::Drama|Thriller
1359::Jingle All the Wa;y (1996)::Adventure|Children's|Comedy
1360::Identification of;a Woman (Identificazione di una donna) (1982)::Drama
1361::Paradise Lost: Th;e Child Murders at Robin Hood Hills (1996)::Documentary
1362::Garden of Finzi-C;ontini, The (Giardino dei Finzi-Contini, Il) (1970)::Drama
1363::Preacher's Wife,;The (1996)::Drama
1364::Zero Kelvin (Kjær;lighetens kjøtere) (1995)::Action
1365::Ridicule (1996)::;Drama
1366::Crucible, The (19;96)::Drama
1367::101 Dalmatians (1;996)::Children's|Comedy
1368::Forbidden Christ,;The (Cristo proibito, Il) (1950)::Drama
1369::I Can't Sleep (J';ai pas sommeil) (1994)::Drama|Thriller
1370::Die Hard 2 (1990);::Action|Thriller
1371::Star Trek: The Mo;tion Picture (1979)::Action|Adventure|Sci-Fi
1372::Star Trek VI: The;Undiscovered Country (1991)::Action|Adventure|Sci-Fi
1373::Star Trek V: The;Final Frontier (1989)::Action|Adventure|Sci-Fi
1374::Star Trek: The Wr;ath of Khan (1982)::Action|Adventure|Sci-Fi
1375::Star Trek III: Th;e Search for Spock (1984)::Action|Adventure|Sci-Fi
1376::Star Trek IV: The;Voyage Home (1986)::Action|Adventure|Sci-Fi
1377::Batman Returns (1;992)::Action|Adventure|Comedy|Crime
1378::Young Guns (1988);::Action|Comedy|Western
1379::Young Guns II (19;90)::Action|Comedy|Western
1380::Grease (1978)::Co;medy|Musical|Romance
1381::Grease 2 (1982)::;Comedy|Musical|Romance
1382::Marked for Death;(1990)::Action|Drama
1383::Adrenalin: Fear t;he Rush (1996)::Action|Sci-Fi
1384::Substance of Fire;, The (1996)::Drama
1385::Under Siege (1992;)::Action
1386::Terror in a Texas;Town (1958)::Western
1387::Jaws (1975)::Acti;on|Horror
1388::Jaws 2 (1978)::Ac;tion|Horror
1389::Jaws 3-D (1983)::;Action|Horror
1390::My Fellow America;ns (1996)::Comedy
1391::Mars Attacks! (19;96)::Action|Comedy|Sci-Fi|War
1392::Citizen Ruth (199;6)::Comedy|Drama
1393::Jerry Maguire (19;96)::Drama|Romance
1394::Raising Arizona (;1987)::Comedy
1395::Tin Men (1987)::C;omedy|Drama
1396::Sneakers (1992)::;Crime|Drama|Sci-Fi
1397::Bastard Out of Ca;rolina (1996)::Drama
1398::In Love and War (;1996)::Romance|War
1399::Marvin's Room (19;96)::Drama
1400::Somebody is Waiti;ng (1996)::Drama
1401::Ghosts of Mississ;ippi (1996)::Drama
1404::Night Falls on Ma;nhattan (1997)::Crime|Drama
1405::Beavis and Butt-h;ead Do America (1996)::Animation|Comedy
1406::Cérémonie, La (19;95)::Drama
1407::Scream (1996)::Ho;rror|Thriller
1408::Last of the Mohic;ans, The (1992)::Action|Romance|War
1409::Michael (1996)::C;omedy|Romance
1410::Evening Star, The;(1996)::Comedy|Drama
1411::Hamlet (1996)::Dr;ama
1412::Some Mother's Son;(1996)::Drama
1413::Whole Wide World,;The (1996)::Drama
1414::Mother (1996)::Co;medy
1415::Thieves (Voleurs,;Les) (1996)::Crime|Drama|Romance
1416::Evita (1996)::Dra;ma|Musical
1417::Portrait of a Lad;y, The (1996)::Drama
1419::Walkabout (1971):;:Drama
1420::Message to Love:;The Isle of Wight Festival (1996)::Documentary
1421::Grateful Dead (19;95)::Documentary
1422::Murder at 1600 (1;997)::Mystery|Thriller
1423::Hearts and Minds;(1996)::Drama
1424::Inside (1996)::Ac;tion
1425::Fierce Creatures;(1997)::Comedy
1426::Zeus and Roxanne;(1997)::Children's
1427::Turbulence (1997);::Thriller
1428::Angel Baby (1995);::Drama
1429::Jackie Chan's Fir;st Strike (1996)::Action
1430::Underworld (1997);::Thriller
1431::Beverly Hills Nin;ja (1997)::Action|Comedy
1432::Metro (1997)::Act;ion
1433::Machine, The (199;4)::Comedy|Horror
1434::Stranger, The (19;94)::Action
1436::Falling in Love A;gain (1980)::Comedy
1437::Cement Garden, Th;e (1993)::Drama
1438::Dante's Peak (199;7)::Action|Thriller
1439::Meet Wally Sparks;(1997)::Comedy
1440::Amos & Andrew (19;93)::Comedy
1441::Benny & Joon (199;3)::Comedy|Romance
1442::Prefontaine (1997;)::Drama
1443::Tickle in the Hea;rt, A (1996)::Documentary
1444::Guantanamera (199;4)::Comedy
1445::McHale's Navy (19;97)::Comedy|War
1446::Kolya (1996)::Com;edy
1447::Gridlock'd (1997);::Crime
1448::Fire on the Mount;ain (1996)::Documentary
1449::Waiting for Guffm;an (1996)::Comedy
1450::Prisoner of the M;ountains (Kavkazsky Plennik) (1996)::War
1453::Beautician and th;e Beast, The (1997)::Comedy|Romance
1454::SubUrbia (1997)::;Comedy
1455::Hotel de Love (19;96)::Comedy|Romance
1456::Pest, The (1997):;:Comedy
1457::Fools Rush In (19;97)::Comedy|Romance
1458::Touch (1997)::Rom;ance
1459::Absolute Power (1;997)::Mystery|Thriller
1460::That Darn Cat! (1;997)::Children's|Comedy|Mystery
1461::Vegas Vacation (1;997)::Comedy
1462::Unforgotten: Twen;ty-Five Years After Willowbrook (1996)::Documentary
1463::That Old Feeling;(1997)::Comedy|Romance
1464::Lost Highway (199;7)::Mystery
1465::Rosewood (1997)::;Drama
1466::Donnie Brasco (19;97)::Crime|Drama
1467::Salut cousin! (19;96)::Comedy|Drama
1468::Booty Call (1997);::Comedy|Romance
1470::Rhyme & Reason (1;997)::Documentary
1471::Boys Life 2 (1997;)::Drama
1472::City of Industry;(1997)::Crime|Thriller
1473::Best Men (1997)::;Action|Comedy|Crime|Drama
1474::Jungle2Jungle (a.;k.a. Jungle 2 Jungle) (1997)::Children's|Comedy
1475::Kama Sutra: A Tal;e of Love (1996)::Romance
1476::Private Parts (19;97)::Comedy|Drama
1477::Love Jones (1997);::Romance
1479::Saint, The (1997);::Action|Romance|Thriller
1480::Smilla's Sense of;Snow (1997)::Action|Drama|Thriller
1482::Van, The (1996)::;Comedy|Drama
1483::Crash (1996)::Dra;ma|Thriller
1484::Daytrippers, The;(1996)::Mystery
1485::Liar Liar (1997):;:Comedy
1486::Quiet Room, The (;1996)::Drama
1487::Selena (1997)::Dr;ama|Musical
1488::Devil's Own, The;(1997)::Action|Drama|Thriller|War
1489::Cats Don't Dance;(1997)::Animation|Children's|Musical
1490::B*A*P*S (1997)::C;omedy
1493::Love and Other Ca;tastrophes (1996)::Romance
1494::Sixth Man, The (1;997)::Comedy
1495::Turbo: A Power Ra;ngers Movie (1997)::Action|Adventure|Children's
1496::Anna Karenina (19;97)::Drama|Romance
1497::Double Team (1997;)::Action
1498::Inventing the Abb;otts (1997)::Drama|Romance
1499::Anaconda (1997)::;Action|Adventure|Thriller
1500::Grosse Pointe Bla;nk (1997)::Comedy|Crime
1501::Keys to Tulsa (19;97)::Crime
1502::Kissed (1996)::Ro;mance
1503::8 Heads in a Duff;el Bag (1997)::Comedy
1504::Hollow Reed (1996;)::Drama
1507::Paradise Road (19;97)::Drama|War
1508::Traveller (1997):;:Drama
1509::All Over Me (1997;)::Drama
1510::Brother's Kiss, A;(1997)::Drama
1511::A Chef in Love (1;996)::Comedy
1513::Romy and Michele';s High School Reunion (1997)::Comedy
1514::Temptress Moon (F;eng Yue) (1996)::Romance
1515::Volcano (1997)::D;rama|Thriller
1516::Children of the R;evolution (1996)::Comedy
1517::Austin Powers: In;ternational Man of Mystery (1997)::Comedy
1518::Breakdown (1997):;:Action|Thriller
1519::Broken English (1;996)::Drama
1520::Commandments (199;7)::Romance
1522::Ripe (1996)::Dram;a
1523::Truth or Conseque;nces, N.M. (1997)::Action|Crime|Romance
1524::Turning, The (199;2)::Drama
1525::Warriors of Virtu;e (1997)::Action|Adventure|Children's|Fantasy
1526::Fathers' Day (199;7)::Comedy
1527::Fifth Element, Th;e (1997)::Action|Sci-Fi
1528::Intimate Relation;s (1996)::Comedy
1529::Nowhere (1997)::D;rama
1531::Losing Chase (199;6)::Drama
1532::Sprung (1997)::Co;medy
1533::Promise, The (La;Promesse) (1996)::Drama
1534::Bonheur, Le (1965;)::Drama
1535::Love! Valour! Com;passion! (1997)::Drama|Romance
1537::Shall We Dance? (;Shall We Dansu?) (1996)::Comedy
1538::Second Jungle Boo;k: Mowgli & Baloo, The (1997)::Adventure|Children's
1539::Twin Town (1997):;:Comedy|Crime
1541::Addicted to Love;(1997)::Comedy|Romance
1542::Brassed Off (1996;)::Comedy|Drama|Romance
1543::Designated Mourne;r, The (1997)::Drama
1544::Lost World: Juras;sic Park, The (1997)::Action|Adventure|Sci-Fi|Thriller
1545::Ponette (1996)::D;rama
1546::Schizopolis (1996;)::Comedy
1547::Shiloh (1997)::Ch;ildren's|Drama
1548::War at Home, The;(1996)::Drama
1549::Rough Magic (1995;)::Drama|Romance
1550::Trial and Error (;1997)::Comedy|Romance
1551::Buddy (1997)::Adv;enture|Children's|Drama
1552::Con Air (1997)::A;ction|Adventure|Thriller
1553::Late Bloomers (19;96)::Comedy
1554::Pillow Book, The;(1995)::Drama|Romance
1555::To Have, or Not (;1995)::Drama
1556::Speed 2: Cruise C;ontrol (1997)::Action|Romance|Thriller
1557::Squeeze (1996)::D;rama
1558::Sudden Manhattan;(1996)::Comedy
1559::Next Step, The (1;995)::Drama
1561::Wedding Bell Blue;s (1996)::Comedy
1562::Batman & Robin (1;997)::Action|Adventure|Crime
1563::Dream With the Fi;shes (1997)::Drama
1564::Roseanna's Grave;(For Roseanna) (1997)::Comedy|Romance
1565::Head Above Water;(1996)::Comedy|Thriller
1566::Hercules (1997)::;Adventure|Animation|Children's|Comedy|Musical
1567::Last Time I Commi;tted Suicide, The (1997)::Drama
1568::MURDER and murder;(1996)::Crime|Drama|Mystery
1569::My Best Friend's;Wedding (1997)::Comedy|Romance
1570::Tetsuo II: Body H;ammer (1992)::Sci-Fi
1571::When the Cats Awa;y (Chacun cherche son chat) (1996)::Comedy|Romance
1572::Contempt (Le Mépr;is) (1963)::Drama
1573::Face/Off (1997)::;Action|Sci-Fi|Thriller
1574::Fall (1997)::Roma;nce
1575::Gabbeh (1996)::Dr;ama
1577::Mondo (1996)::Dra;ma
1578::Innocent Sleep, T;he (1995)::Crime
1579::For Ever Mozart (;1996)::Drama
1580::Men in Black (199;7)::Action|Adventure|Comedy|Sci-Fi
1581::Out to Sea (1997);::Comedy
1582::Wild America (199;7)::Adventure|Children's
1583::Simple Wish, A (1;997)::Children's|Fantasy
1584::Contact (1997)::D;rama|Sci-Fi
1585::Love Serenade (19;96)::Comedy
1586::G.I. Jane (1997):;:Action|Drama|War
1587::Conan the Barbari;an (1982)::Action|Adventure
1588::George of the Jun;gle (1997)::Children's|Comedy
1589::Cop Land (1997)::;Crime|Drama|Mystery
1590::Event Horizon (19;97)::Action|Mystery|Sci-Fi|Thriller
1591::Spawn (1997)::Act;ion|Adventure|Sci-Fi|Thriller
1592::Air Bud (1997)::C;hildren's|Comedy
1593::Picture Perfect (;1997)::Comedy|Romance
1594::In the Company of;Men (1997)::Drama
1595::Free Willy 3: The;Rescue (1997)::Adventure|Children's|Drama
1596::Career Girls (199;7)::Drama
1597::Conspiracy Theory;(1997)::Action|Mystery|Romance|Thriller
1598::Desperate Measure;s (1998)::Crime|Drama|Thriller
1599::Steel (1997)::Act;ion
1600::She's So Lovely (;1997)::Drama|Romance
1601::Hoodlum (1997)::C;rime|Drama|Film-Noir
1602::Leave It to Beave;r (1997)::Comedy
1603::Mimic (1997)::Sci;-Fi|Thriller
1604::Money Talks (1997;)::Action|Comedy
1605::Excess Baggage (1;997)::Adventure|Romance
1606::Kull the Conquero;r (1997)::Action|Adventure
1608::Air Force One (19;97)::Action|Thriller
1609::187 (1997)::Drama;
1610::Hunt for Red Octo;ber, The (1990)::Action|Thriller
1611::My Own Private Id;aho (1991)::Drama
1612::Kiss Me, Guido (1;997)::Comedy
1613::Star Maps (1997):;:Drama
1614::In & Out (1997)::;Comedy
1615::Edge, The (1997):;:Adventure|Thriller
1616::Peacemaker, The (;1997)::Action|Thriller|War
1617::L.A. Confidential;(1997)::Crime|Film-Noir|Mystery|Thriller
1619::Seven Years in Ti;bet (1997)::Drama|War
1620::Kiss the Girls (1;997)::Crime|Drama|Thriller
1621::Soul Food (1997):;:Drama
1622::Kicked in the Hea;d (1997)::Comedy|Drama
1623::Wishmaster (1997);::Horror
1624::Thousand Acres, A;(1997)::Drama
1625::Game, The (1997):;:Mystery|Thriller
1626::Fire Down Below (;1997)::Action|Drama|Thriller
1627::U Turn (1997)::Ac;tion|Crime|Mystery
1628::Locusts, The (199;7)::Drama
1629::MatchMaker, The (;1997)::Comedy|Romance
1630::Lay of the Land,;The (1997)::Comedy|Drama
1631::Assignment, The (;1997)::Thriller
1632::Smile Like Yours,;A (1997)::Comedy|Romance
1633::Ulee's Gold (1997;)::Drama
1635::Ice Storm, The (1;997)::Drama
1636::Stag (1997)::Acti;on|Thriller
1639::Chasing Amy (1997;)::Drama|Romance
1640::How to Be a Playe;r (1997)::Comedy
1641::Full Monty, The (;1997)::Comedy
1642::Indian Summer (a.;k.a. Alive & Kicking) (1996)::Comedy|Drama
1643::Mrs. Brown (Her M;ajesty, Mrs. Brown) (1997)::Drama|Romance
1644::I Know What You D;id Last Summer (1997)::Horror|Mystery|Thriller
1645::Devil's Advocate,;The (1997)::Crime|Horror|Mystery|Thriller
1646::Rocket Man (1997);::Comedy
1647::Playing God (1997;)::Crime|Thriller
1648::House of Yes, The;(1997)::Comedy|Drama|Thriller
1649::Fast, Cheap & Out;of Control (1997)::Documentary
1650::Washington Square;(1997)::Drama
1651::Telling Lies in A;merica (1997)::Drama
1652::Year of the Horse;(1997)::Documentary
1653::Gattaca (1997)::D;rama|Sci-Fi|Thriller
1654::FairyTale: A True;Story (1997)::Children's|Drama|Fantasy
1655::Phantoms (1998)::;Horror
1656::Swept from the Se;a (1997)::Romance
1657::Wonderland (1997);::Documentary
1658::Life Less Ordinar;y, A (1997)::Romance|Thriller
1659::Hurricane Streets;(1998)::Drama
1660::Eve's Bayou (1997;)::Drama
1661::Switchback (1997);::Thriller
1662::Gang Related (199;7)::Crime
1663::Stripes (1981)::C;omedy
1664::Nénette et Boni (;1996)::Drama
1665::Bean (1997)::Come;dy
1666::Hugo Pool (1997):;:Romance
1667::Mad City (1997)::;Action|Drama
1668::One Night Stand (;1997)::Drama
1669::Tango Lesson, The;(1997)::Romance
1670::Welcome To Saraje;vo (1997)::Drama|War
1671::Deceiver (1997)::;Crime
1672::Rainmaker, The (1;997)::Drama
1673::Boogie Nights (19;97)::Drama
1674::Witness (1985)::D;rama|Romance|Thriller
1675::Incognito (1997):;:Crime|Thriller
1676::Starship Troopers;(1997)::Action|Adventure|Sci-Fi|War
1677::Critical Care (19;97)::Comedy
1678::Joy Luck Club, Th;e (1993)::Drama
1679::Chairman of the B;oard (1998)::Comedy
1680::Sliding Doors (19;98)::Drama|Romance
1681::Mortal Kombat: An;nihilation (1997)::Action|Adventure
1682::Truman Show, The;(1998)::Drama
1683::Wings of the Dove;, The (1997)::Drama|Romance|Thriller
1684::Mrs. Dalloway (19;97)::Romance
1685::I Love You, I Lov;e You Not (1996)::Romance
1686::Red Corner (1997);::Crime|Thriller
1687::Jackal, The (1997;)::Action|Thriller
1688::Anastasia (1997):;:Animation|Children's|Musical
1689::Man Who Knew Too;Little, The (1997)::Comedy|Mystery
1690::Alien: Resurrecti;on (1997)::Action|Horror|Sci-Fi
1692::Alien Escape (199;5)::Horror|Sci-Fi
1693::Amistad (1997)::D;rama
1694::Apostle, The (199;7)::Drama
1695::Artemisia (1997):;:Drama
1696::Bent (1997)::Dram;a|War
1697::Big Bang Theory,;The (1994)::Crime
1698::Boys, Les (1997):;:Comedy
1699::Butcher Boy, The;(1998)::Drama
1701::Deconstructing Ha;rry (1997)::Comedy|Drama
1702::Flubber (1997)::C;hildren's|Comedy|Fantasy
1703::For Richer or Poo;rer (1997)::Comedy
1704::Good Will Hunting;(1997)::Drama
1705::Guy (1996)::Drama;
1706::Harlem River Driv;e (1996)::Drama
1707::Home Alone 3 (199;7)::Children's|Comedy
1708::Ill Gotten Gains;(1997)::Drama
1709::Legal Deceit (199;7)::Thriller
1710::Man of Her Dreams;(1996)::Drama
1711::Midnight in the G;arden of Good and Evil (1997)::Comedy|Crime|Drama|Mystery
1713::Mouse Hunt (1997);::Children's|Comedy
1714::Never Met Picasso;(1996)::Romance
1715::Office Killer (19;97)::Thriller
1716::Other Voices, Oth;er Rooms (1997)::Drama
1717::Scream 2 (1997)::;Horror|Thriller
1718::Stranger in the H;ouse (1997)::Thriller
1719::Sweet Hereafter,;The (1997)::Drama
1720::Time Tracers (199;5)::Action|Adventure|Sci-Fi
1721::Titanic (1997)::D;rama|Romance
1722::Tomorrow Never Di;es (1997)::Action|Romance|Thriller
1723::Twisted (1996)::C;omedy|Drama
1724::Full Speed (1996);::Drama
1725::Education of Litt;le Tree, The (1997)::Drama
1726::Postman, The (199;7)::Drama
1727::Horse Whisperer,;The (1998)::Drama
1728::Winter Guest, The;(1997)::Drama
1729::Jackie Brown (199;7)::Crime|Drama
1730::Kundun (1997)::Dr;ama
1731::Mr. Magoo (1997):;:Comedy
1732::Big Lebowski, The;(1998)::Comedy|Crime|Mystery|Thriller
1733::Afterglow (1997):;:Drama|Romance
1734::My Life in Pink (;Ma vie en rose) (1997)::Comedy|Drama
1735::Great Expectation;s (1998)::Drama|Romance
1738::Vermin (1998)::Co;medy
1739::3 Ninjas: High No;on On Mega Mountain (1998)::Action|Children's
1740::Men of Means (199;8)::Action|Drama
1741::Midaq Alley (Call;ejón de los milagros, El) (1995)::Drama
1742::Caught Up (1998):;:Crime
1743::Arguing the World;(1996)::Documentary
1744::Firestorm (1998):;:Action|Adventure|Thriller
1746::Senseless (1998):;:Comedy
1747::Wag the Dog (1997;)::Comedy|Drama
1748::Dark City (1998):;:Film-Noir|Sci-Fi|Thriller
1749::Leading Man, The;(1996)::Romance
1750::Star Kid (1997)::;Adventure|Children's|Fantasy|Sci-Fi
1752::Hard Rain (1998):;:Action|Thriller
1753::Half Baked (1998);::Comedy
1754::Fallen (1998)::Ac;tion|Mystery|Thriller
1755::Shooting Fish (19;97)::Romance
1756::Prophecy II, The;(1998)::Horror
1757::Duoluo tianshi (1;995)::Drama
1758::Dangerous Beauty;(1998)::Drama
1759::Four Days in Sept;ember (1997)::Drama
